x ratio alignment normal_ratio dMdh path_min depth retained n_roots
0.250000 0.039854155 0.999966605 0.038897457 0.390420998 0.390420998 1.769906364 1 1
0.275000 0.071227728 0.999845695 0.068966214 1.001197537 1.001197537 1.484045530 1 1
0.300000 0.083027641 0.999951300 0.082350742 1.545354248 1.545354248 1.309695400 1 1
0.325000 0.090418976 0.999624058 0.085890478 1.925300994 1.925300994 1.195039217 1 1
0.350000 0.116244796 0.997040930 0.086213150 2.146211943 2.146211943 1.115785587 1 1
0.375000 0.155360047 0.991862047 0.085529913 2.233927352 2.233927352 1.059531652 1 1
0.400000 0.197177486 0.984842680 0.084621016 2.212285411 2.212285411 1.019408312 1 1
0.425000 0.237106568 0.976852256 0.084101512 2.099196443 2.099196443 0.991351654 1 1
0.450000 0.273620850 0.968549885 0.084142394 1.907107442 1.907107442 0.972836927 1 1
0.475000 0.305884270 0.960481431 0.084474034 1.644038741 1.644038741 0.962255842 1 1
0.500000 0.333826227 0.952975195 0.084871743 1.314415562 1.314415562 0.958599141 1 1
0.525000 0.358066756 0.946097087 0.085238917 0.919724607 0.919724607 0.961286358 1 1
0.550000 0.379144324 0.939842402 0.085401093 0.459069893 0.459069893 0.970065760 1 1
0.575000 nan nan nan -0.070438588 -0.070438588 0.984954239 0 1
0.600000 nan nan nan -0.673563650 -0.673563650 1.006213955 0 1
0.625000 nan nan nan -1.357056814 -1.357056814 1.034371543 0 1
0.650000 nan nan nan -2.129739694 -2.129739694 1.070281898 0 1
0.675000 nan nan nan -3.002159058 -3.002159058 1.115235351 0 1
0.700000 nan nan nan -3.985377115 -3.985377115 1.171121402 0 1
0.725000 nan nan nan -5.088095933 -5.088095933 1.240708436 0 1
0.750000 nan nan nan -6.309701772 -6.309701772 1.328195444 0 1
0.775000 nan nan nan -7.621821346 -7.621821346 1.440424196 0 1
0.800000 nan nan nan -8.915741702 -8.915741702 1.589988118 0 1
0.825000 nan nan nan -9.833687155 -9.833687155 1.806649623 0 2
0.850000 nan nan nan nan nan nan 0 0
0.875000 nan nan nan nan nan nan 0 0
