x ratio alignment normal_ratio dMdh path_min depth retained n_roots
0.250000 0.067854789 0.998629604 0.042696811 1.771472033 1.771472033 0.839006348 1 1
0.275000 0.080194127 0.997733478 0.042728905 1.951380919 1.951380919 0.778868443 1 1
0.300000 0.094242501 0.996521240 0.042392949 2.076584979 2.076584979 0.735418650 1 1
0.325000 0.108781299 0.995068112 0.041953153 2.153133164 2.153133164 0.703590451 1 1
0.350000 0.122739517 0.993489152 0.041519722 2.190542521 2.190542521 0.680259119 1 1
0.375000 0.135748569 0.991863246 0.041234232 2.196749397 2.196749397 0.663522126 1 1
0.400000 0.147767352 0.990236048 0.041200144 2.177437261 2.177437261 0.652186956 1 1
0.425000 0.158728309 0.988651129 0.041414083 2.136545274 2.136545274 0.645387388 1 1
0.450000 0.168686087 0.987130900 0.041854070 2.076512540 2.076512540 0.642549923 1 1
0.475000 0.177770114 0.985680053 0.042497282 1.998709841 1.998709841 0.643375072 1 1
0.500000 0.185895926 0.984330624 0.043250431 1.903851255 1.903851255 0.647662713 1 1
0.525000 0.192957612 0.983117448 0.044010537 1.791868913 1.791868913 0.655303743 1 1
0.550000 0.199090007 0.982033112 0.044740669 1.661962492 1.661962492 0.666381933 1 1
0.575000 0.204526857 0.981047313 0.045430776 1.512977657 1.512977657 0.681081419 1 1
0.600000 0.209410151 0.980140371 0.046045275 1.343166642 1.343166642 0.699624418 1 1
0.625000 0.213819485 0.979300632 0.046530798 1.149792983 1.149792983 0.722428191 1 1
0.650000 0.217888804 0.978504149 0.046844579 0.929502776 0.929502776 0.750125381 1 1
0.675000 0.221778737 0.977719151 0.046941254 0.678325342 0.678325342 0.783447199 1 1
0.700000 0.225514979 0.976936473 0.046717764 0.390816414 0.390816414 0.823394786 1 1
0.725000 0.229334168 0.976102813 0.046083045 0.060182569 0.060182569 0.871471557 1 1
0.750000 nan nan nan -0.320782792 -0.320782792 0.929617358 0 1
0.775000 nan nan nan -0.759594333 -0.759594333 1.000386310 0 1
0.800000 nan nan nan -1.261788644 -1.261788644 1.087588021 0 1
0.825000 nan nan nan -1.822182524 -1.822182524 1.196620415 0 1
0.850000 nan nan nan -2.412631644 -2.412631644 1.334676791 0 1
0.875000 nan nan nan -2.978769807 -2.978769807 1.511806152 0 1
